X 1 616162	X 0 1 0,3
C 0 5e5b5b3d613d5d5d2424	C 0 0 0
X 0 6363	X 0 0
X 0 636162616362	X 0 0
X 2 62626362616262	X 0 0
X 0 616261	X 0 0
X 0 62636161636361	X 0 0
X 0 62636263	X 0 0
C 0 5e285b61625d297b302c327d3f7c6162	C 0 0 1
X 1 62626362636261	X 0 0
X 0 61636163	X 0 1 0,0 -1,-1
X 3 63	X 0 0
X 0 6162626261	X 0 1 0,2 -1,-1
X 0 61636261616163	X 0 1 0,0 -1,-1
X 1 6162	X 0 1 0,2 -1,-1
C 0 5e5b5b3a616c7068613a5d5d5b612d635d5b61625d	C 0 0 0
X 0 636163626363	X 0 0
X 0 6163	X 0 0
X 1 63	X 0 0
X 2 616361	X 0 1 0,3
X 2 63	X 0 0
X 0 6261	X 0 0
C 0 282e297c61615b5b3a616c7068613a5d5d5b612d635d2e7c2e	C 0 0 1
X 1 626262616263	X 0 1 0,1 0,1
X 1 626263	X 0 1 0,1 0,1
X 2 -	X 0 0
X 3 6162	X 0 1 0,1 0,1
X 3 61626161	X 0 1 0,1 0,1
X 1 636163626362	X 0 1 0,1 0,1
C 0 5b5b3a616c7068613a5d5d5e5b5b3d613d5d5d3f	C 0 0 0
X 3 62636262626162	X 0 0
X 3 61626363616363	X 0 0
X 0 6163	X 0 0
X 3 636361616162	X 0 0
X 2 6261	X 0 0
X 2 61	X 0 0
C 0 28285b612d635d5b5b3a616c7068613a5d5d297b302c327d29	C 0 0 2
X 2 6261	X 0 1 0,2 0,2 0,2
X 1 61636163636262	X 0 1 0,4 0,4 2,4
X 1 6361616263	X 0 1 0,4 0,4 2,4
X 2 636162636361	X 0 1 0,4 0,4 2,4
X 1 626263636361	X 0 1 0,4 0,4 2,4
X 2 63636262616362	X 0 1 0,4 0,4 2,4
C 0 285b5e615d5b5e615d29	C 0 0 1
X 2 62616362616162	X 0 1 2,4 2,4
X 3 626263636261	X 0 1 0,2 0,2
X 3 -	X 0 0
X 2 62636263	X 0 1 0,2 0,2
X 1 61	X 0 0
X 0 62616361616362	X 0 1 5,7 5,7
C 0 625b5b3a616c7068613a5d5d5b5b3a616c7068613a5d5d63	C 0 0 0
X 3 6163636161	X 0 0
X 2 62616361626362	X 0 0
X 3 61	X 0 0
X 0 61626363	X 0 0
X 3 -	X 0 0
X 2 636262626361	X 0 1 1,5
C 0 5e5b5b3a616c7068613a5d5d5b5b3a616c7068613a5d5d7c5b612d635d63	C 0 0 0
X 1 -	X 0 0
X 1 6163	X 0 1 0,2
X 0 62636262626262	X 0 1 0,2
X 2 6361636361	X 0 1 0,2
X 3 -	X 0 0
X 2 6163636363	X 0 1 0,2
C 0 5b5b3d613d5d5d5b61625d285b612d635d297b302c327d	C 0 0 1
X 2 -	X 0 0
X 3 61636163616361	X 0 0
X 1 6263636261	X 0 0
X 0 62	X 0 0
X 3 61	X 0 0
X 0 61626263636162	X 0 1 0,4 3,4
C 0 2e5b5b3d613d5d5d7c2e7c5b612d635d5e5b5b3a616c7068613a5d5d	C 0 0 0
X 3 616361	X 0 1 0,1
X 0 6162	X 0 1 0,1
X 2 62626263636163	X 0 1 0,1
X 2 61	X 0 1 0,1
X 1 6162636163	X 0 1 0,1
X 3 636161	X 0 1 0,2
C 0 5b612d635d625b5b3d613d5d5d627c2e5e5b61625d	C 0 0 0
X 3 61	X 0 0
X 3 63626163	X 0 0
X 2 62616363636161	X 0 0
X 3 62	X 0 0
X 2 62616162626363	X 0 0
X 1 62616261	X 0 0
C 0 2e7b312c7d24	C 0 0 0
X 1 61616162	X 0 1 0,4
X 1 62	X 0 1 0,1
X 3 6161636261	X 0 0
X 2 62	X 0 0
X 0 6361	X 0 1 0,2
X 2 6361616363	X 0 0
C 0 285b5b3a616c7068613a5d5d293f7c5b5b3d613d5d5d5b612d635d7c637c5b61625d24	C 0 0 1
X 0 6162616262	X 0 1 0,2 -1,-1
X 0 -	X 0 1 0,0 -1,-1
X 2 -	X 0 1 0,0 -1,-1
X 3 63636162636161	X 0 1 0,1 0,1
X 1 6363	X 0 1 0,1 0,1
X 3 -	X 0 1 0,0 -1,-1
C 0 5b5b3a616c7068613a5d5d285b61625d297b302c327d3f7c5b5b3a616c7068613a5d5d5b61625d7c635b5b3a616c7068613a5d5d	C 0 0 1
X 3 6162	X 0 1 0,2 -1,-1
X 3 6263626361	X 0 1 0,1 -1,-1
X 0 626162616162	X 0 1 0,2 -1,-1
X 0 6163	X 0 1 0,1 -1,-1
X 1 626263616162	X 0 1 0,2 -1,-1
X 0 63616361616162	X 0 1 0,2 -1,-1
C 0 5b612d635d3f24	C 0 0 0
X 1 6162	X 0 1 1,2
X 2 -	X 0 0
X 1 62616161616262	X 0 1 6,7
X 0 -	X 0 1 0,0
X 2 616163626161	X 0 0
X 0 6363	X 0 1 1,2
C 0 5b5b3a616c7068613a5d5d2e7b312c7d24	C 0 0 0
X 0 636362636361	X 0 1 0,6
X 1 63636261616362	X 0 1 0,7
X 0 61616262626362	X 0 1 0,7
X 0 6161636262	X 0 1 0,5
X 2 6363616361	X 0 0
X 1 -	X 0 0
C 0 635b5b3d613d5d5d625b5e615d	C 0 0 0
X 1 63	X 0 0
X 0 6362	X 0 0
X 3 636263	X 0 0
X 3 6261636361	X 0 0
X 0 62626261	X 0 0
X 2 61626363	X 0 0
C 0 5b5b3d613d5d5d5b5b3a616c7068613a5d5d7c5b5b3a616c7068613a5d5d2e5b5e615d2e3f3f	C 0 0 0
X 2 6362	X 0 0
X 0 -	X 0 0
X 1 6161	X 0 1 0,2
X 0 636161616361	X 0 1 1,3
X 0 6161616161	X 0 1 0,2
X 2 62626261636263	X 0 1 0,3
C 0 285e5b612d635d7c5b612d635d297b312c7d	C 0 0 1
X 0 63626163	X 0 1 0,4 3,4
X 0 6162	X 0 1 0,2 1,2
X 3 63616161636261	X 0 1 0,7 6,7
X 1 62	X 0 1 0,1 0,1
X 2 6263626163	X 0 1 0,5 4,5
X 2 -	X 0 0
C 0 285e2e5b612d635d292a	C 0 0 1
X 3 636261616163	X 0 1 0,0 -1,-1
X 0 626362	X 0 1 0,2 0,2
X 0 6163626363	X 0 1 0,2 0,2
X 0 6263616363	X 0 1 0,2 0,2
X 1 62626361626361	X 0 1 0,0 -1,-1
X 3 6261616161	X 0 1 0,0 -1,-1
C 0 5b5b3a616c7068613a5d5d5b5b3d613d5d5d2424	C 0 0 0
X 2 6262616362	X 0 0
X 2 616263	X 0 0
X 3 6363616162	X 0 0
X 0 61	X 0 0
X 3 6362	X 0 0
X 1 6163626262	X 0 0
C 0 2e3f	C 0 0 0
X 3 6363626361	X 0 1 0,1
X 3 626161	X 0 1 0,1
X 2 636263	X 0 1 0,1
X 1 6161636162	X 0 1 0,1
X 0 62636362636262	X 0 1 0,1
X 2 -	X 0 1 0,0
C 0 285b5b3d613d5d5d615b612d635d297b312c7d	C 0 0 1
X 2 6261	X 0 0
X 1 6163	X 0 0
X 0 6263	X 0 0
X 0 626363616261	X 0 0
X 3 62616263616261	X 0 0
X 1 6263	X 0 0
C 0 5b5b3d613d5d5d617c6324	C 0 0 0
X 0 616262616363	X 0 1 5,6
X 1 -	X 0 0
X 3 6162	X 0 0
X 2 636263616363	X 0 0
X 0 626263	X 0 1 2,3
X 1 63626162616161	X 0 1 4,6
C 0 5b5b3a616c7068613a5d5d5b5e615d247c5b5e615d285b5b3a616c7068613a5d5d297b327d	C 0 0 1
X 3 616262616362	X 0 1 1,4 3,4
X 2 61	X 0 0
X 3 6361	X 0 0
X 2 61	X 0 0
X 3 6163	X 0 0
X 1 -	X 0 0
C 0 62285b5b3a616c7068613a5d5d292b7c2e	C 0 0 1
X 3 -	X 0 0
X 3 -	X 0 0
X 2 6161636163	X 0 1 0,1 -1,-1
X 1 6161	X 0 1 0,1 -1,-1
X 0 6162616163	X 0 1 0,1 -1,-1
X 2 626162636363	X 0 1 0,6 5,6
C 0 5b61625d5b612d635d	C 0 0 0
X 2 6363	X 0 0
X 0 62	X 0 0
X 1 626361636261	X 0 1 0,2
X 2 6362626161	X 0 1 1,3
X 2 636263616362	X 0 1 1,3
X 1 616261636261	X 0 1 0,2
C 0 5b5b3a616c7068613a5d5d5b5b3a616c7068613a5d5d617c5b5e615d	C 0 0 0
X 2 616363636263	X 0 1 1,2
X 2 616263626261	X 0 1 1,2
X 2 -	X 0 0
X 1 62	X 0 1 0,1
X 2 636162616262	X 0 1 0,1
X 2 63626263	X 0 1 0,1
C 0 5b5b3d613d5d5d2b61245b5e615d5b5e615d	C 0 0 0
X 2 6162616363	X 0 0
X 0 62636161	X 0 0
X 2 626261	X 0 0
X 0 6263616263	X 0 0
X 3 62626262	X 0 0
X 1 -	X 0 0
C 0 5b5b3d613d5d5d285e5b61625d297b327d	C 0 0 1
X 1 626163616263	X 0 0
X 3 6361	X 0 0
X 1 6161626162	X 0 0
X 0 63636361	X 0 0
X 3 62	X 0 0
X 2 61	X 0 0
C 0 6128622e297b312c7d3f	C 0 0 1
X 2 -	X 0 0
X 2 636262626363	X 0 0
X 3 6363	X 0 0
X 1 61636162	X 0 0
X 2 626263636261	X 0 0
X 2 636161	X 0 0
C 0 5b61625d3f3f	C 0 0 0
X 0 62626362636261	X 0 1 0,0
X 0 62636162636263	X 0 1 0,0
X 2 6163	X 0 1 0,0
X 3 63	X 0 1 0,0
X 0 6262	X 0 1 0,0
X 2 636363636163	X 0 1 0,0
C 0 615b5b3a616c7068613a5d5d2e7c5b61625d7b312c7d	C 0 0 0
X 2 636163636362	X 0 1 1,4
X 0 636262636261	X 0 1 1,3
X 1 6363626262	X 0 1 2,5
X 0 616261616263	X 0 1 0,5
X 3 61616363	X 0 1 0,3
X 0 62626362	X 0 1 0,2
C 0 5b5b3a616c7068613a5d5d7b327d3f	C 0 0 0
X 3 636261	X 0 1 0,2
X 0 6263636361	X 0 1 0,2
X 2 6162636261	X 0 1 0,2
X 2 61636362616162	X 0 1 0,2
X 2 6361	X 0 1 0,2
X 2 616362	X 0 1 0,2
C 0 627b327d3f	C 0 0 0
X 1 626163	X 0 0
X 1 636161	X 0 0
X 2 -	X 0 0
X 0 616261	X 0 0
X 2 63616361636361	X 0 0
X 2 63626362	X 0 0
C 0 635e615b5e615d2a3f	C 0 0 0
X 1 636163	X 0 0
X 1 62	X 0 0
X 3 63626162626161	X 0 0
X 0 63626163	X 0 0
X 3 6161	X 0 0
X 3 636161636361	X 0 0
C 0 5b612d635d7b312c7d	C 0 0 0
X 0 636262	X 0 1 0,3
X 0 626262	X 0 1 0,3
X 3 61	X 0 1 0,1
X 0 6263636362	X 0 1 0,5
X 0 63	X 0 1 0,1
X 0 -	X 0 0
C 0 5b612d635d5b612d635d615b61625d5b612d635d	C 0 0 0
X 3 6361	X 0 0
X 1 6261	X 0 0
X 0 6361	X 0 0
X 0 63616362626161	X 0 0
X 1 61626362	X 0 0
X 3 6362	X 0 0
C 0 5b612d635d7b302c327d3f	C 0 0 0
X 1 616161	X 0 1 0,0
X 3 6262626363	X 0 1 0,0
X 2 63626263	X 0 1 0,0
X 0 6163	X 0 1 0,0
X 2 626262	X 0 1 0,0
X 1 616362626161	X 0 1 0,0
C 0 28285e5b5b3d613d5d5d293f297b312c7d3f	C 0 0 2
X 3 6363636161	X 0 1 0,0 0,0 -1,-1
X 1 626163616162	X 0 1 0,0 0,0 -1,-1
X 2 636362	X 0 1 0,0 0,0 -1,-1
X 3 636262636263	X 0 1 0,0 0,0 -1,-1
X 3 636263616163	X 0 1 0,0 0,0 -1,-1
X 1 6362636262	X 0 1 0,0 0,0 -1,-1
C 0 5b5b3a616c7068613a5d5d5b5e615d285b5e615d292b	C 0 0 1
X 3 -	X 0 0
X 1 62626161626263	X 0 1 3,7 6,7
X 2 -	X 0 0
X 2 63636362	X 0 1 0,4 3,4
X 1 -	X 0 0
X 2 -	X 0 0
C 0 2e5b612d635d637b327d	C 0 0 0
X 2 6361636161	X 0 0
X 2 636163626362	X 0 0
X 0 62	X 0 0
X 0 62636363626362	X 0 1 0,4
X 3 6161636363	X 0 1 0,4
X 3 62616161626263	X 0 0
C 0 282e297b302c327d5b612d635d247c5e5b5b3d613d5d5d5b5b3d613d5d5d	C 0 0 1
X 1 63626362626163	X 0 1 4,7 5,6
X 1 -	X 0 0
X 2 6161	X 0 1 0,2 -1,-1
X 0 616363	X 0 1 0,3 1,2
X 3 61	X 0 0
X 0 62636362636362	X 0 1 4,7 5,6
C 0 5b5b3d613d5d5d637c2e5b5b3d613d5d5d5b5e615d	C 0 0 0
X 0 626162616363	X 0 1 0,3
X 0 61626263636263	X 0 0
X 2 6362616262	X 0 1 1,4
X 0 626362626163	X 0 1 3,6
X 2 636363626163	X 0 1 3,6
X 1 63626361616261	X 0 1 3,6
C 0 5b5b3d613d5d5d615b5b3d613d5d5d7c2e	C 0 0 0
X 1 636262616162	X 0 1 0,1
X 0 63	X 0 1 0,1
X 1 62636163	X 0 1 0,1
X 1 63	X 0 1 0,1
X 3 626262	X 0 1 0,1
X 2 -	X 0 0
C 0 2e5b61625d2e7c5b5b3a616c7068613a5d5d	C 0 0 0
X 0 62616362	X 0 1 0,3
X 0 61616263626262	X 0 1 0,3
X 0 626162636263	X 0 1 0,3
X 2 63616362626261	X 0 1 0,3
X 2 63636362636161	X 0 1 0,1
X 0 63626262636361	X 0 1 0,3
C 0 5e5b5e615d2424	C 0 0 0
X 1 636262	X 0 0
X 2 6361	X 0 0
X 1 616263636363	X 0 0
X 2 63636362	X 0 0
X 2 61616162626163	X 0 0
X 1 62	X 0 0
C 0 2e63282e292a3f	C 0 0 1
X 3 61	X 0 0
X 2 63636363626362	X 0 1 0,2 -1,-1
X 0 -	X 0 0
X 2 62616362	X 0 1 1,3 -1,-1
X 1 626263636263	X 0 1 1,3 -1,-1
X 2 62636162	X 0 1 0,2 -1,-1
C 0 5b61625d5b612d635d2e2b	C 0 0 0
X 3 6162626363	X 0 1 0,5
X 3 616162	X 0 1 0,3
X 3 63	X 0 0
X 3 616263	X 0 1 0,3
X 2 63626162	X 0 1 1,4
X 0 6263	X 0 0
C 0 5b5b3a616c7068613a5d5d285b5b3d613d5d5d5b61625d292b3f	C 0 0 1
X 3 6263	X 0 0
X 2 63616262	X 0 1 0,3 1,3
X 3 6361	X 0 0
X 1 6361626262	X 0 1 0,3 1,3
X 3 61636263636361	X 0 0
X 1 61636161626361	X 0 1 1,4 2,4
C 0 625b612d635d7c5b61625d5b5b3d613d5d5d	C 0 0 0
X 2 6161636161	X 0 1 0,2
X 3 626161636162	X 0 1 0,2
X 2 62	X 0 0
X 0 6163	X 0 0
X 0 -	X 0 0
X 3 626263	X 0 1 0,2
C 0 5e5e6224	C 0 0 0
X 0 62	X 0 1 0,1
X 0 61636163616262	X 0 0
X 0 62626362626261	X 0 0
X 1 626361	X 0 0
X 1 6362	X 0 0
X 2 626362616163	X 0 0
C 0 285b612d635d245b612d635d5b5e615d297b302c327d	C 0 0 1
X 1 63626161	X 0 1 0,0 -1,-1
X 1 616261	X 0 1 0,0 -1,-1
X 0 63616261636161	X 0 1 0,0 -1,-1
X 2 6261	X 0 1 0,0 -1,-1
X 1 6162626262	X 0 1 0,0 -1,-1
X 3 616162	X 0 1 0,0 -1,-1
C 0 285b5b3d613d5d5d5e5b5e615d297b312c7d	C 0 0 1
X 3 616161	X 0 0
X 3 616161626163	X 0 0
X 0 6261616263	X 0 0
X 2 626261626163	X 0 0
X 1 6361636163	X 0 0
X 3 6361	X 0 0
C 0 635b5b3a616c7068613a5d5d7b302c327d	C 0 0 0
X 2 636262616263	X 0 1 0,3
X 0 63636363626161	X 0 1 0,3
X 0 6363636362	X 0 1 0,3
X 3 61636262	X 0 1 1,4
X 0 63636361	X 0 1 0,3
X 1 61	X 0 0
C 0 5e285b5e615d297b302c327d7c5e5b61625d7c5b612d635d5b5e615d	C 0 0 1
X 1 6363616161	X 0 1 0,2 -1,-1
X 1 626363626363	X 0 1 0,2 -1,-1
X 3 62	X 0 0
X 3 626361636263	X 0 1 0,2 -1,-1
X 0 -	X 0 1 0,0 -1,-1
X 3 62	X 0 0
C 0 5b5b3a616c7068613a5d5d5b5e615d285b5e615d292b3f	C 0 0 1
X 1 6361616363	X 0 1 2,5 4,5
X 0 6361636163	X 0 0
X 3 616163636161	X 0 1 1,4 3,4
X 2 -	X 0 0
X 1 616163	X 0 0
X 3 -	X 0 0
C 0 5b5b3a616c7068613a5d5d5b61625d2e5b5b3d613d5d5d	C 0 0 0
X 1 636262	X 0 0
X 0 6263	X 0 0
X 0 61	X 0 0
X 0 6261636262	X 0 0
X 1 -	X 0 0
X 0 626261636263	X 0 0
C 0 61617b312c7d3f7c5b612d635d7c5b612d635d	C 0 0 0
X 0 62626163	X 0 1 0,1
X 0 62	X 0 1 0,1
X 2 62	X 0 1 0,1
X 1 63636163	X 0 1 0,1
X 3 616161	X 0 1 0,1
X 3 61616262636163	X 0 1 0,1
C 0 285b5b3d613d5d5d24293f	C 0 0 1
X 3 61	X 0 1 0,0 -1,-1
X 3 63	X 0 1 0,0 -1,-1
X 2 6161626162	X 0 1 0,0 -1,-1
X 0 626362	X 0 1 0,0 -1,-1
X 3 6263616262	X 0 1 0,0 -1,-1
X 3 616162636263	X 0 1 0,0 -1,-1
C 0 612e5b61625d24	C 0 0 0
X 3 63	X 0 0
X 1 6163636162	X 0 0
X 2 -	X 0 0
X 0 -	X 0 0
X 3 626361	X 0 0
X 0 636263	X 0 0
C 0 5b5b3d613d5d5d2b	C 0 0 0
X 3 62636263	X 0 0
X 0 63636162616262	X 0 1 2,3
X 2 636163	X 0 1 1,2
X 3 6163636262	X 0 1 0,1
X 1 63636362	X 0 0
X 2 62616163626263	X 0 1 1,3
C 0 5e5b5e615d2b3f	C 0 0 0
X 0 -	X 0 0
X 3 6362	X 0 0
X 3 63626262	X 0 0
X 2 626162	X 0 1 0,1
X 3 63626163636262	X 0 0
X 0 6263626161	X 0 1 0,1
C 0 285b5b3d613d5d5d615b612d635d292b	C 0 0 1
X 1 62626263616361	X 0 0
X 3 6162636363	X 0 0
X 3 6161626363	X 0 1 0,3 0,3
X 0 -	X 0 0
X 2 62616363626261	X 0 0
X 3 616361636161	X 0 0
C 0 5e5e6224	C 0 0 0
X 2 616262626262	X 0 0
X 2 63626162	X 0 0
X 1 616363616363	X 0 0
X 0 -	X 0 0
X 0 626263626263	X 0 0
X 3 6362	X 0 0
C 0 62615b5e615d24	C 0 0 0
X 3 61	X 0 0
X 0 6262	X 0 0
X 3 61	X 0 0
X 0 626263626162	X 0 1 3,6
X 1 626362636363	X 0 0
X 1 616362626362	X 0 0
C 0 5b612d635d2a3f24	C 0 0 0
X 1 616362616261	X 0 1 0,6
X 1 63	X 0 1 0,1
X 0 616162	X 0 1 0,3
X 3 6361	X 0 0
X 3 6363	X 0 0
X 1 636163	X 0 1 0,3
C 0 2828285b5b3a616c7068613a5d5d292b3f297b327d297b312c7d	C 0 0 3
X 2 6163636363	X 0 1 0,2 0,2 1,2 1,2
X 2 6263	X 0 1 0,2 0,2 1,2 1,2
X 3 63636363626362	X 0 1 0,2 0,2 1,2 1,2
X 3 6163	X 0 1 0,2 0,2 1,2 1,2
X 1 6162	X 0 1 0,2 0,2 1,2 1,2
X 2 6361	X 0 1 0,2 0,2 1,2 1,2
C 0 5e5b5b3a616c7068613a5d5d7b327d	C 0 0 0
X 1 63616162	X 0 0
X 1 62616162	X 0 0
X 0 6362616363	X 0 1 0,2
X 0 61	X 0 0
X 3 61626363	X 0 0
X 3 6262616362	X 0 0
C 0 5b5b3a616c7068613a5d5d5b5b3a616c7068613a5d5d7c2861297b302c327d3f5b5b3a616c7068613a5d5d2a3f	C 0 0 1
X 3 62616162626261	X 0 1 0,2 -1,-1
X 3 61636261616362	X 0 1 0,2 -1,-1
X 1 63	X 0 1 0,0 -1,-1
X 0 6362626362	X 0 1 0,2 -1,-1
X 2 616161	X 0 1 0,2 -1,-1
X 3 61626261636361	X 0 1 0,2 -1,-1
C 0 285b5e615d2e5b5e615d293f	C 0 0 1
X 2 62636162616261	X 0 1 0,0 -1,-1
X 2 -	X 0 1 0,0 -1,-1
X 1 6163636161	X 0 1 0,0 -1,-1
X 3 6361636361	X 0 1 0,3 0,3
X 2 62	X 0 1 0,0 -1,-1
X 1 6262616363	X 0 1 0,0 -1,-1
C 0 635e5b5e615d7b312c7d3f	C 0 0 0
X 3 -	X 0 0
X 3 61	X 0 0
X 3 61636161	X 0 0
X 2 63636162616162	X 0 0
